#Variables:
#rsds_CCSM4_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_GFDL-ESM2M_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_GFDL-ESM2G_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_HadGEM2-CC365_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_MIROC5_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_NorESM1-M_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3388, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_rsds_CCSM4_r6i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_GFDL-ESM2G_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_HadGEM2-CC365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,rsds_CCSM4_rcp85(Wm-2),rsds_GFDL-ESM2M_rcp85(Wm-2),rsds_GFDL-ESM2G_rcp85(Wm-2),rsds_HadGEM2-CC365_rcp85(Wm-2),rsds_MIROC5_rcp85(Wm-2),rsds_NorESM1-M_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2)"
""
yyyy-mm-dd,rsds_CCSM4_rcp85(Wm-2),rsds_GFDL-ESM2M_rcp85(Wm-2),rsds_GFDL-ESM2G_rcp85(Wm-2),rsds_HadGEM2-CC365_rcp85(Wm-2),rsds_MIROC5_rcp85(Wm-2),rsds_NorESM1-M_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2)
2006-03-29,218.179001,262.615784,239.396500,248.278793,256.588013,189.224548,104.620987,104.620987,104.620987,104.620987
2006-03-30,164.709824,260.451172,209.141418,258.419800,217.654755,209.019653,175.337372,175.337372,175.337372,175.337372
2006-03-31,259.871887,220.957886,202.248627,261.220398,234.844849,267.603943,200.161148,200.161148,200.161148,200.161148
2006-04-01,167.984543,185.474747,255.354874,268.077057,265.619202,273.727203,227.413162,227.413162,227.413162,227.413162
2006-04-02,138.693314,273.901642,206.203491,263.983765,266.262421,273.347961,202.636963,202.636963,202.636963,202.636963
2006-04-03,143.749908,278.471558,204.268356,216.821960,201.798950,274.808075,176.388611,176.388611,176.388611,176.388611
2006-04-04,164.050156,240.062744,176.091461,162.443481,178.733612,235.387985,197.649643,197.649643,197.649643,197.649643
2006-04-05,141.220413,261.645966,194.550552,237.651138,184.168030,230.384933,233.319443,233.319443,233.319443,233.319443
2006-04-06,192.183990,204.955704,122.796700,281.762268,167.958099,240.831451,235.919952,235.919952,235.919952,235.919952
2006-04-07,222.629974,203.455139,261.687500,282.565430,166.739288,234.298370,219.615128,219.615128,219.615128,219.615128
2006-04-08,256.456421,212.781036,274.745667,207.984879,241.670883,228.746719,151.375443,151.375443,151.375443,151.375443
2006-04-09,238.493744,205.599869,163.775558,160.528091,247.435776,256.486450,147.075897,147.075897,147.075897,147.075897
2006-04-10,158.369080,190.740189,146.080795,179.076355,194.626007,161.564499,234.609161,234.609161,234.609161,234.609161
2006-04-11,216.259109,165.598236,264.996185,229.812576,236.904419,204.199448,277.150238,277.150238,277.150238,277.150238
2006-04-12,136.629074,186.887817,283.382721,279.094940,238.990646,216.144241,279.654999,279.654999,279.654999,279.654999
2006-04-13,231.693314,205.430099,187.919266,289.283142,217.741455,230.802994,251.399353,251.399353,251.399353,251.399353
2006-04-14,211.189056,224.509354,211.748962,293.890808,272.151886,219.953812,156.577087,156.577087,156.577087,156.577087
2006-04-15,233.435165,219.606979,273.141693,294.486664,283.621796,224.733124,230.951126,230.951126,230.951126,230.951126
2006-04-16,162.759094,255.133728,283.619202,303.838287,293.926086,280.275452,256.562653,256.562653,256.562653,256.562653
2006-04-17,207.911255,280.684418,289.614868,227.634109,222.972336,181.091476,274.109894,274.109894,274.109894,274.109894
2006-04-18,235.658539,197.145264,192.527740,221.961487,301.623352,254.491470,200.045166,200.045166,200.045166,200.045166
2006-04-19,276.329407,250.900909,232.386063,267.319672,203.890518,242.467590,131.780838,131.780838,131.780838,131.780838
2006-04-20,291.063110,296.749908,275.542999,262.388733,295.626495,230.950394,231.250748,231.250748,231.250748,231.250748
2006-04-21,149.480148,216.556290,302.434753,281.692047,297.286072,212.807175,222.669174,222.669174,222.669174,222.669174
2006-04-22,268.714722,146.868515,225.577545,287.218109,305.738312,196.204330,151.603302,151.603302,151.603302,151.603302
2006-04-23,286.502350,226.961273,252.303421,278.462585,312.374237,205.510788,196.270126,196.270126,196.270126,196.270126
2006-04-24,306.458008,262.661316,208.484802,277.237518,314.156281,84.476173,265.793121,265.793121,265.793121,265.793121
2006-04-25,230.155914,302.675110,145.046417,293.346527,308.336548,119.659019,281.380402,281.380402,281.380402,281.380402
2006-04-26,226.285431,292.092438,170.861069,313.451172,300.148712,180.329712,277.903931,277.903931,277.903931,277.903931
