#Variables:
#tasmax_CCSM4_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_GFDL-ESM2M_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_GFDL-ESM2G_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_HadGEM2-CC365_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_MIROC5_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_NorESM1-M_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp45(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3384, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_tasmax_CCSM4_r6i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_GFDL-ESM2M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_GFDL-ESM2G_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_HadGEM2-CC365_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_MIROC5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmax_CCSM4_rcp45(K),tasmax_GFDL-ESM2M_rcp45(K),tasmax_GFDL-ESM2G_rcp45(K),tasmax_HadGEM2-CC365_rcp45(K),tasmax_MIROC5_rcp45(K),tasmax_NorESM1-M_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K)"
""
yyyy-mm-dd,tasmax_CCSM4_rcp45(K),tasmax_GFDL-ESM2M_rcp45(K),tasmax_GFDL-ESM2G_rcp45(K),tasmax_HadGEM2-CC365_rcp45(K),tasmax_MIROC5_rcp45(K),tasmax_NorESM1-M_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K)
2006-03-23,288.169220,289.818665,289.259491,287.983124,289.098083,285.561554,283.070007,283.070007,283.070007,283.070007
2006-03-24,288.823456,289.123718,291.555847,289.030060,289.279266,287.180511,283.371307,283.371307,283.371307,283.371307
2006-03-25,288.620758,285.427124,291.631989,289.418243,288.490417,287.113525,285.792480,285.792480,285.792480,285.792480
2006-03-26,288.821442,286.596649,290.072784,287.455109,289.104462,283.526886,285.795105,285.795105,285.795105,285.795105
2006-03-27,290.567169,284.750458,282.856720,283.867737,293.020386,284.071960,283.116730,283.116730,283.116730,283.116730
2006-03-28,291.838348,282.859222,292.353210,289.621124,291.999969,286.235779,282.256836,282.256836,282.256836,282.256836
2006-03-29,291.574219,282.665466,295.630157,294.746368,290.368896,285.772522,282.615173,282.615173,282.615173,282.615173
2006-03-30,287.656097,281.813843,297.800415,296.846832,296.642731,289.592407,282.509399,282.509399,282.509399,282.509399
2006-03-31,292.358429,288.257294,297.737610,296.332214,295.989075,290.602417,282.475067,282.475067,282.475067,282.475067
2006-04-01,291.542450,286.469635,294.950806,292.411285,296.225525,290.526978,281.460876,281.460876,281.460876,281.460876
2006-04-02,282.704559,280.843323,286.448517,286.405640,297.483978,288.608887,282.098145,282.098145,282.098145,282.098145
2006-04-03,284.126556,278.590881,287.487518,288.422607,295.661407,284.424744,279.792175,279.792175,279.792175,279.792175
2006-04-04,287.909058,283.410339,295.082245,294.510956,292.580048,283.785797,288.284424,288.284424,288.284424,288.284424
2006-04-05,288.804443,288.953094,295.286835,296.257751,289.004822,284.507050,289.413544,289.413544,289.413544,289.413544
2006-04-06,287.585083,287.021942,292.521942,289.196564,292.139771,284.860382,288.836334,288.836334,288.836334,288.836334
2006-04-07,288.752289,292.335083,291.464935,282.366211,288.674133,287.916473,287.848114,287.848114,287.848114,287.848114
2006-04-08,295.677490,290.006012,299.257782,282.994324,285.974548,289.609406,287.707306,287.707306,287.707306,287.707306
2006-04-09,297.365784,286.984955,299.114899,288.007141,285.950775,289.489166,286.531464,286.531464,286.531464,286.531464
2006-04-10,297.341888,285.661682,298.419281,289.714569,285.959076,287.897308,288.878479,288.878479,288.878479,288.878479
2006-04-11,296.141632,283.389862,294.595642,289.951355,289.252594,287.045898,293.175568,293.175568,293.175568,293.175568
2006-04-12,284.323517,284.890808,297.769287,291.980347,295.399261,286.192261,294.553009,294.553009,294.553009,294.553009
2006-04-13,287.002686,289.090546,297.683929,294.831116,298.708252,287.049408,297.231628,297.231628,297.231628,297.231628
2006-04-14,290.847870,288.349274,291.458771,297.069733,296.946869,291.960571,296.970612,296.970612,296.970612,296.970612
2006-04-15,292.832458,289.328522,296.664246,294.064209,294.084839,294.313629,297.947052,297.947052,297.947052,297.947052
2006-04-16,291.713013,289.370972,294.013855,289.285553,293.500854,295.594360,299.862396,299.862396,299.862396,299.862396
2006-04-17,289.194000,288.828125,287.469452,290.700806,299.325806,295.650879,299.787445,299.787445,299.787445,299.787445
2006-04-18,288.282806,289.895416,297.620056,290.777100,299.461487,293.331512,298.848724,298.848724,298.848724,298.848724
2006-04-19,283.954834,290.426941,299.175385,288.656525,296.248566,291.594147,295.396149,295.396149,295.396149,295.396149
2006-04-20,282.644989,286.278809,298.805756,287.169617,292.999329,291.821472,290.190765,290.190765,290.190765,290.190765
2006-04-21,283.113831,285.868439,293.644196,286.878113,292.613190,290.285675,289.680481,289.680481,289.680481,289.680481
2006-04-22,283.336853,286.924866,285.826355,286.682922,287.950226,289.158081,294.512939,294.512939,294.512939,294.512939
2006-04-23,285.251526,288.459808,286.306610,285.170319,287.362274,290.905884,295.872864,295.872864,295.872864,295.872864
2006-04-24,285.598419,289.650116,286.647064,286.729095,286.446259,292.116852,297.268372,297.268372,297.268372,297.268372
2006-04-25,290.310730,293.934021,285.355591,291.781616,288.253784,293.310608,299.584229,299.584229,299.584229,299.584229
2006-04-26,292.207458,293.865051,284.274719,292.434937,294.232422,292.390259,299.960693,299.960693,299.960693,299.960693
2006-04-27,292.241150,293.784576,287.768860,288.090118,298.135498,291.865570,297.707703,297.707703,297.707703,297.707703
2006-04-28,293.073517,288.203796,290.446289,284.925446,300.461182,291.446533,297.424133,297.424133,297.424133,297.424133
2006-04-29,293.078979,289.024323,294.696503,285.181885,297.659821,292.572479,299.987061,299.987061,299.987061,299.987061
2006-04-30,296.572693,294.256531,295.509430,284.787659,291.825073,293.134705,300.712830,300.712830,300.712830,300.712830
2006-05-01,295.981415,293.223511,293.627533,285.481140,283.106537,292.781982,294.850189,294.850189,294.850189,294.850189
2006-05-02,296.822052,295.681915,294.055420,288.069427,286.354065,293.144104,291.862488,291.862488,291.862488,291.862488
2006-05-03,297.496674,296.972534,292.957886,287.434357,291.573059,292.368256,293.041809,293.041809,293.041809,293.041809
2006-05-04,297.196442,296.262939,291.706970,286.997406,292.443298,289.022247,294.920227,294.920227,294.920227,294.920227
2006-05-05,296.389954,292.473419,291.819550,291.779327,291.055786,290.204132,294.655975,294.655975,294.655975,294.655975
2006-05-06,292.834198,287.060638,294.053650,295.677155,289.208923,294.802094,292.408997,292.408997,292.408997,292.408997
2006-05-07,289.256439,285.959351,295.723297,295.197571,290.840210,297.232727,291.884735,291.884735,291.884735,291.884735
2006-05-08,290.261292,288.558228,295.982544,293.524689,290.589478,297.182983,292.744629,292.744629,292.744629,292.744629
2006-05-09,292.327332,288.701660,293.001465,287.263306,287.769867,294.081055,291.763824,291.763824,291.763824,291.763824
2006-05-10,293.300049,289.319611,295.021637,283.173401,296.522400,299.350006,287.892670,287.892670,287.892670,287.892670
2006-05-11,293.912170,289.528320,296.158295,287.293182,294.894257,301.722961,288.905273,288.905273,288.905273,288.905273
2006-05-12,294.187805,289.572174,297.890320,291.159607,288.006470,300.539276,290.601807,290.601807,290.601807,290.601807
2006-05-13,294.986328,289.772034,301.013763,295.903687,286.528900,299.527039,291.770721,291.770721,291.770721,291.770721
