#Variables:
#pr_CCSM4_rcp85(mm):Precipitation
#pr_GFDL-ESM2M_rcp85(mm):Precipitation
#pr_GFDL-ESM2G_rcp85(mm):Precipitation
#pr_HadGEM2-CC365_rcp85(mm):Precipitation
#pr_MIROC5_rcp85(mm):Precipitation
#pr_NorESM1-M_rcp85(mm):Precipitation
#pr_bcc-csm1-1_rcp85(mm):Precipitation
#pr_bcc-csm1-1_rcp85(mm):Precipitation
#pr_bcc-csm1-1_rcp85(mm):Precipitation
#pr_bcc-csm1-1_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3388, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_pr_CCSM4_r6i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_GFDL-ESM2G_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_HadGEM2-CC365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,pr_CCSM4_rcp85(mm),pr_GFDL-ESM2M_rcp85(mm),pr_GFDL-ESM2G_rcp85(mm),pr_HadGEM2-CC365_rcp85(mm),pr_MIROC5_rcp85(mm),pr_NorESM1-M_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm)"
""
yyyy-mm-dd,pr_CCSM4_rcp85(mm),pr_GFDL-ESM2M_rcp85(mm),pr_GFDL-ESM2G_rcp85(mm),pr_HadGEM2-CC365_rcp85(mm),pr_MIROC5_rcp85(mm),pr_NorESM1-M_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm)
2006-03-21,0.000000,17.796034,0.000000,0.000000,0.000000,0.842725,0.000000,0.000000,0.000000,0.000000
2006-03-22,0.000000,5.044792,0.000000,0.000000,2.200864,3.340895,0.000000,0.000000,0.000000,0.000000
2006-03-23,0.000000,0.000000,0.000000,0.000000,1.138325,0.944184,0.000000,0.000000,0.000000,0.000000
2006-03-24,0.000000,0.000000,0.000000,0.000000,2.203916,0.434757,9.976192,9.976192,9.976192,9.976192
2006-03-25,0.000000,0.000000,0.000000,0.841653,0.384752,0.000000,2.164829,2.164829,2.164829,2.164829
2006-03-26,0.000000,0.000000,0.000000,10.750177,2.904480,0.000000,0.000000,0.000000,0.000000,0.000000
2006-03-27,0.000000,0.000000,0.000000,0.000000,1.409036,0.742860,0.000000,0.000000,0.000000,0.000000
2006-03-28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-03-29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.390454,1.390454,1.390454,1.390454
2006-03-30,1.471375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-03-31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-04-01,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-04-02,5.357736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-04-03,3.780267,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-04-04,0.844897,0.000000,0.000000,1.913988,0.000000,0.000000,3.379372,3.379372,3.379372,3.379372
2006-04-05,3.514251,0.000000,2.143816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-04-06,2.038716,0.000000,7.965729,0.000000,0.000000,1.198276,0.000000,0.000000,0.000000,0.000000
2006-04-07,0.000000,0.000000,0.000000,0.000000,2.945498,0.000000,0.000000,0.000000,0.000000,0.000000
2006-04-08,0.000000,0.000000,0.000000,0.000000,0.000000,0.392691,0.000000,0.000000,0.000000,0.000000
2006-04-09,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.715965,1.715965,1.715965,1.715965
2006-04-10,8.381474,1.440578,0.000000,0.000000,0.864938,0.000000,0.000000,0.000000,0.000000,0.000000
2006-04-11,0.946312,1.014077,0.000000,0.000000,0.000000,2.665279,0.000000,0.000000,0.000000,0.000000
2006-04-12,6.098246,1.349199,0.286946,0.000000,0.000000,5.105525,0.000000,0.000000,0.000000,0.000000
2006-04-13,2.294087,0.000000,1.108055,0.000000,0.000000,0.673698,0.000000,0.000000,0.000000,0.000000
2006-04-14,1.906858,2.874673,0.561051,0.000000,0.000000,1.538353,0.000000,0.000000,0.000000,0.000000
2006-04-15,13.516253,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-04-16,2.362692,0.805595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-04-17,9.224220,1.228766,0.000000,0.000000,0.000000,0.392182,0.000000,0.000000,0.000000,0.000000
2006-04-18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.038083,1.038083,1.038083,1.038083
2006-04-19,0.000000,0.649706,1.354968,0.000000,0.000000,0.000000,2.924610,2.924610,2.924610,2.924610
2006-04-20,0.000000,0.000000,0.000000,0.000000,0.000000,4.614108,3.677475,3.677475,3.677475,3.677475
2006-04-21,2.712928,0.746089,0.000000,0.000000,0.000000,6.903634,4.712605,4.712605,4.712605,4.712605
2006-04-22,0.777311,2.854696,0.000000,0.000000,0.000000,5.836275,6.461419,6.461419,6.461419,6.461419
2006-04-23,0.000000,2.228018,0.000000,0.000000,0.000000,0.550982,1.344958,1.344958,1.344958,1.344958
2006-04-24,0.000000,0.000000,1.130533,0.000000,0.000000,6.289680,0.703460,0.703460,0.703460,0.703460
2006-04-25,0.000000,0.000000,2.854195,0.000000,0.000000,8.651697,0.000000,0.000000,0.000000,0.000000
2006-04-26,0.000000,0.000000,1.060818,0.000000,0.000000,5.310330,0.000000,0.000000,0.000000,0.000000
2006-04-27,0.526541,0.436615,1.207771,0.000000,0.000000,8.250114,0.000000,0.000000,0.000000,0.000000
2006-04-28,0.000000,0.293749,0.405390,0.000000,2.717661,1.649596,0.000000,0.000000,0.000000,0.000000
2006-04-29,0.000000,0.000000,2.317796,0.000000,8.254247,0.000000,0.987500,0.987500,0.987500,0.987500
2006-04-30,0.000000,0.000000,2.893985,0.000000,0.000000,0.000000,1.217083,1.217083,1.217083,1.217083
2006-05-01,0.000000,0.000000,0.000000,0.000000,0.607276,0.000000,0.000000,0.000000,0.000000,0.000000
2006-05-02,0.000000,0.000000,0.000000,0.000000,0.536577,0.000000,0.000000,0.000000,0.000000,0.000000
2006-05-03,9.456367,0.000000,0.000000,1.146016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-05-04,0.000000,0.000000,0.000000,2.209877,0.000000,0.000000,2.501427,2.501427,2.501427,2.501427
2006-05-05,0.687446,0.000000,4.359067,0.000000,0.000000,0.000000,0.898903,0.898903,0.898903,0.898903
