#Variables:
#tasmin_CCSM4_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_GFDL-ESM2M_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_GFDL-ESM2G_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_HadGEM2-CC365_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_MIROC5_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_NorESM1-M_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp85(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3388, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CCSM4_r6i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_GFDL-ESM2G_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_HadGEM2-CC365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmin_CCSM4_rcp85(K),tasmin_GFDL-ESM2M_rcp85(K),tasmin_GFDL-ESM2G_rcp85(K),tasmin_HadGEM2-CC365_rcp85(K),tasmin_MIROC5_rcp85(K),tasmin_NorESM1-M_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K)"
""
yyyy-mm-dd,tasmin_CCSM4_rcp85(K),tasmin_GFDL-ESM2M_rcp85(K),tasmin_GFDL-ESM2G_rcp85(K),tasmin_HadGEM2-CC365_rcp85(K),tasmin_MIROC5_rcp85(K),tasmin_NorESM1-M_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K)
2006-03-23,269.354095,272.139313,269.818359,276.194214,272.910919,270.020111,273.982361,273.982361,273.982361,273.982361
2006-03-24,268.407990,272.308868,268.929321,272.472504,272.404144,270.932953,272.870667,272.870667,272.870667,272.870667
2006-03-25,270.180420,272.439880,267.496002,275.803741,271.250763,272.680634,271.721649,271.721649,271.721649,271.721649
2006-03-26,271.667114,273.488678,270.535614,276.341278,270.021759,272.197601,270.376556,270.376556,270.376556,270.376556
2006-03-27,271.301880,274.675903,273.904449,271.164001,270.385193,268.750824,270.957458,270.957458,270.957458,270.957458
2006-03-28,272.456085,273.482361,275.304565,268.614990,270.304352,268.219879,274.000916,274.000916,274.000916,274.000916
2006-03-29,274.744354,274.073151,276.319000,274.620239,269.756226,270.489380,276.412415,276.412415,276.412415,276.412415
2006-03-30,276.477356,274.535828,279.184784,273.871796,271.491241,269.807709,275.110565,275.110565,275.110565,275.110565
2006-03-31,271.294891,274.151367,276.186493,274.767548,273.576263,269.338043,271.843994,271.843994,271.843994,271.843994
2006-04-01,273.471375,276.083191,271.805664,270.830170,270.134674,269.652618,272.719208,272.719208,272.719208,272.719208
2006-04-02,275.979889,273.556488,271.281006,272.538177,273.218842,271.384155,275.657288,275.657288,275.657288,275.657288
2006-04-03,278.354523,275.010651,271.033020,274.094299,276.558258,272.601868,268.855957,268.855957,268.855957,268.855957
2006-04-04,275.760986,276.601929,271.243958,272.313965,274.622070,274.255188,272.477142,272.477142,272.477142,272.477142
2006-04-05,274.884399,277.497314,271.680023,263.552460,272.616516,274.545471,267.394623,267.394623,267.394623,267.394623
2006-04-06,268.274536,279.771027,273.318573,263.366638,274.463715,274.983826,270.870972,270.870972,270.870972,270.870972
2006-04-07,268.289886,277.975189,270.253387,268.860626,270.027374,276.017670,269.217010,269.217010,269.217010,269.217010
2006-04-08,267.636414,279.172760,269.866028,272.515106,269.632324,276.003082,274.535767,274.535767,274.535767,274.535767
2006-04-09,271.053284,277.309692,273.374725,275.383911,269.296692,274.598175,276.416046,276.416046,276.416046,276.416046
2006-04-10,273.659882,272.417358,275.811157,275.151184,272.639313,276.874176,272.273499,272.273499,272.273499,272.273499
2006-04-11,273.972778,271.766815,271.482330,276.042633,268.790375,277.560547,272.032288,272.032288,272.032288,272.032288
2006-04-12,273.958038,270.802887,268.997223,270.929840,269.051575,276.485931,270.893219,270.893219,270.893219,270.893219
2006-04-13,272.892487,271.260651,273.872711,270.604858,269.551453,277.214142,272.910461,272.910461,272.910461,272.910461
2006-04-14,274.778900,271.905060,270.703766,275.300568,270.698486,276.291534,278.874786,278.874786,278.874786,278.874786
2006-04-15,273.463989,272.466492,271.103455,278.373047,272.050446,273.376648,273.554169,273.554169,273.554169,273.554169
2006-04-16,271.985870,272.429779,270.381653,279.237518,274.231873,274.070129,271.862579,271.862579,271.862579,271.862579
2006-04-17,273.187103,273.298553,269.840393,278.685059,278.974182,277.320068,270.340820,270.340820,270.340820,270.340820
2006-04-18,272.814819,277.254669,275.726410,275.706848,277.473389,276.447662,275.716003,275.716003,275.716003,275.716003
